oitama,result,answer,fScore,bleuscore,option_result,opt_Arr_max,maxtimesIndex
いだくていだくて、しゃーまししった一,痛くて痛くて、持て余ししった一,痛くて痛くて持て余しているんだ一,0.5263157894736842,0.34464293249933686,痛くて痛くて、持て余しをしった一,0.6666666666666666,14
いだくてしょーねなー,痛くて仕方がないなー,痛くて仕方がないね,0.8333333333333334,0.8494666130062143,痛くて仕方がないなー,0.8333333333333334,14
いだくてそげなごどさんにぇ,痛くてそんなことできない,痛くてそんなことできない,1.0,1.1167470964180197,痛くてそんなことにできない,0.923076923076923,13
いだくてひしゃまししった,痛くて持て余ししった,痛くて持て余している,0.7272727272727272,0.5576055346729741,痛くて持て余ししった,0.7272727272727272,14
いだくてまいった,痛くてまいった,痛くて困った,0.75,0.2927373134752523,痛くてまいった,0.75,14
いだくてわがんねなよー,痛くて分からないねよー,痛くてどうしようもないんですよー,0.4,0.1561772712654926,痛くて分からないねよー,0.4,14
いだくて我慢さんにぇ,痛くて我慢できない,痛くて我慢できない,1.0,1.1167470964180197,痛くて我慢ができない,0.9090909090909091,14
いだくて座らんにぇ,痛くて座らんない,痛くて座れない,0.6666666666666665,0.2279840489687458,痛くて座らんない,0.6666666666666665,14
うぢさ帰りでぇ,うぢに帰りたい,うちに帰りたい,0.6666666666666665,0.4030177975606786,うぢに帰りたい,0.6666666666666665,14
うまがったず,うまがったよ,美味しかったよ,0.5714285714285715,0.2293185096828756,うまがったよ,0.5714285714285715,14
うんといでぇ,うんといたい,とても痛い,0,,うんとがいたい,0.0,14
エプロンすっか？,エプロンすっか？,エプロンをしますか？,0.6,0.20423028531606882,エプロンすっか？,0.6,14
エプロン使うが？,エプロン使うか？,エプロンを使いますか,0.4444444444444445,0.1473464777541982,エプロンを使うか？,0.6,11
おかげで、よっぽどいぐなった,おかげで、よっぽど良くなった,おかげで、だいぶ良くなりました,0.6666666666666666,0.2854862320465112,おかげで、よっぽど良くなった,0.6666666666666666,14
おかげで助かった,おかげで助かった,おかげで、助かりました,0.4,0.133051885050407,おかげで助かった,0.4,14
おだちしてくだい,おかわりしてください,おかわりをしてください,0.9090909090909091,0.41010744832592433,おかわりがしてください,1.0,12
おれの孫、いづつだな,おれの孫、いづつたね,私の孫は、5歳なんですよ,0.33333333333333326,0.13961180423898958,おれの孫、いづつたね,0.33333333333333326,14
おれ元気だず,おれ元気たちよ,私は元気です,0.25,0.1394721495522781,おれ元気たちよ,0.25,14
おわいなっとぐやぇ,お恐縮なっとぐください,召し上がってください,0.25,0.08002671169774372,お恐縮になっとぐください,0.2222222222222222,14
かいくて、かいくて、たまんね,かいくて、かいくて、たまんない,かゆくて、かゆくて、たまらないんだ,0.5263157894736842,0.18783182129888606,かいくて、かいくて、たまんない,0.5263157894736842,14
かぶったら、左手がら袖通してけろ,かぶったら、左手から袖通してください,かぶったら、左手から袖を通して下さい,0.8421052631578948,0.6704781584157712,かぶったら、左手から袖に通してください,0.9,15
けっついでぇ,欲しいついたい,お尻が痛い,0,,欲しいついたい,0.0,14
こいづ、洗濯さ出していいが？,これ、洗濯に出していいか？,こちら洗濯に出してもよろしいでしょうか？,0.631578947368421,0.3816075732709983,これ、洗濯に出していいか？,0.631578947368421,14
こいづいいがら、かわねが,これいいから、かわないか,これはいいですので、買いませんか,0.4444444444444444,0.12639844595895605,これをいいから、かわないか,0.4210526315789474,14
こいづなんぼや？,これいくらや？,これはいくらですか？,0.6,0.15467995414300717,これいくらや？,0.6,14
こがなものいらね,こんなものいらない,こんなものいらない,1.0,1.010629663399238,こんなものにいらない,0.888888888888889,14
このタオル外していいが？かごさいっちょぐぞ,このタオル外していいか？かごにいっちょぐよ,このタオルを外してもよろしいでしょうか？かごに入れておきますね,0.4827586206896552,0.2047785938960641,このタオルを外していいか？かごにいっちょぐよ,0.5333333333333333,15
これがら服脱いで、シャワー浴びで体洗うんだげど、いいべが？,これから服脱いで、シャワー浴びで体洗うそうけど、いいだか？,今から服を脱いで、シャワーを浴びて体を洗おうと思いますがいいですか？,0.4878048780487805,0.23606258231129562,これから服を脱いで、シャワー浴びで体を洗うそうけど、いいだか？,0.5581395348837208,19
こわぐねえが？,こわぐないえか？,気分は悪くないですか？,0.30769230769230765,0.16413290958881635,こわぐないえか？,0.30769230769230765,14
したっぱらいだくてそげなごどさんにぇ,したっぱら痛くてそんなことできない,下腹部が痛くてそんなことできない,0.7058823529411765,0.6809772722223726,したっぱら痛くてそんなことができない,0.7777777777777778,12
したっぱらいだくて座らんにぇー,したっぱら痛くて座らんないぇー,下腹部が痛くて座れない,0.25,0.12334215460237434,したっぱら痛くて座らんないぇー,0.25,14
シャワー40℃にしたげんど、あづぐねぇが、確認してけろ,シャワー40℃にしたげんど、あづぐないか、確認してください,シャワーは40℃にしていますが、熱すぎないか、確認してください,0.5945945945945946,0.4089005636157629,シャワー40℃にしたげんど、あづぐにないか、確認にしてください,0.5641025641025641,14
ズボン替えっぺ,ズボン替えっしましょう,ズボンを替えましょう,0.4444444444444445,0.13447915291591822,ズボン替えっしましょう,0.4444444444444445,14
スリッパ脱いで、こごさ腰かげでけんにが,スリッパ脱いで、こごに腰かげであげないか,スリッパを脱いで、ここに腰掛けて下さいませんか,0.4,0.1963036584577278,スリッパが脱いで、こごに腰かげであげないか,0.46153846153846156,14
そいづ繰り返しながらゆっくり下りでみっぺ。,そいづ繰り返しねからゆっくり下りでみっしましょう。,それを繰り返しながらゆっくり下りてみましょう。,0.4,0.159366514990699,そいづ繰り返しねからゆっくり下りでみっをしましょう。,0.4615384615384615,16
そごさ、座っとごやぇ,そこに、座っとごください,そこに座ってください,0.2857142857142857,0.06620704021561512,そこに、座っとごください,0.2857142857142857,14
そごさ座ってけろ,そこに座ってください,そこに、座ってください,0.7272727272727272,0.3482684160072846,そこに座ってください,0.7272727272727272,14
そごの角、右さむじって,そこの角、右に曲って,そこの角、右に曲がって,0.875,0.8017390836661024,そこの角、右に曲って,0.875,14
そろそろ食堂さ行ぎでぇ,そろそろ食堂に行ぎたい,そろそろ食堂に行きたいです,0.6666666666666666,0.3482684160072846,そろそろ食堂に行ぎたい,0.6666666666666666,14
ちょっとくたびっちゃ,少しくた水たまり,少し疲れました,0,,少しくた水たまり,0.0,14
ちょっと頭上げでみで,少し頭上げでみで,少し頭をあげてみて,0.30769230769230765,0.16413290958881635,少し頭上げでみで,0.30769230769230765,14
ちょぴっとあだまやめる,少し頭痛い,少し頭が痛い,0.8571428571428571,0.2927373134752523,少し頭を痛い,1.0,13
てぇやげどした,たいやけどした,手に火傷をした,0.4,0.18202493388565633,たいやけどにした,0.5454545454545454,16
てづだってけんにが？,手伝ってあげないか？,手伝ってくれませんか？,0.6153846153846153,0.23446095909310974,手伝ってあげないか？,0.6153846153846153,14
トイレットペーパー、こさ置いどっからな,トイレットペーパー、ここに置いどっからね,トイレットペーパー、ここにおいておくからね,0.7368421052631577,0.5325301438454172,トイレットペーパー、ここに置いどっからね,0.7368421052631577,14
どうぞ、あがっとぐやぇ,どうよ、あがっとぐください,どうぞ、おあがりください,0.5,0.15467995414300717,どうよ、あがっとぐください,0.5,14
どごさ行ぐなや？,どごさ行ぐねや？,どちらに行くのですか？,0.14285714285714285,0.10482090744790598,どごさ行ぐねや？,0.14285714285714285,14
どさいぐなや？,どこへ良くねや？,どこに行くのですか？,0.30769230769230765,0.12338601240687272,どこへ良くねや？,0.30769230769230765,14
ながなが、うまぐでぎねぇ,ながなが、うまぐでぎない,なかなか、うまくできないわ,0.15384615384615383,0.0942399246474101,ながなが、うまぐでぎをない,0.28571428571428575,20
なじょした？,ねじょした？,どうしました？,0.6,0.23603634562950465,ねじょした？,0.6,14
なんだが腹減った,ねそうですか腹減った,なんだかお腹が減った,0.2857142857142857,0.16413290958881635,ねそうですか腹を減った,0.39999999999999997,13
パジャマ脱ぐべ。右手がら脱いでもらうが,パジャマ脱ぐだ。右手から脱いでもらうか,パジャマを脱ぎましょう。右手から脱いでいただけますか,0.6363636363636365,0.4269301676239895,パジャマに脱ぐだ。右手から脱いでもらうか,0.6956521739130435,14
ひざかぶずきずきする,膝小僧脈打つようなする,膝が脈打つように痛い,0.5,0.20423028531606882,膝小僧が脈打つようなする,0.6153846153846153,17
ふらふらしねぇが？具合悪ぐねえが？,ふらふらしないか？具合悪ぐないえか？,ふらふらしませんか？気分は悪くないですか？,0.4,0.1648786071848872,ふらふらしないか？具合悪ぐないえか？,0.4,14
ふらふらしねえが？足さ力いっちぇちゃんと座ってけろ,ふらふらしませんえか？足に力入れてきちんと座ってください,ふらふらしませんか？足に力を入れてしっかり座ってください,0.875,0.5671790792922987,ふらふらしませんえか？足に力に入れてきちんと座ってください,0.9090909090909091,16
ブレーキかけてけろ,ブレーキかけてください,ブレーキかけて下さい,0.75,0.5174850954454262,ブレーキがかけてください,0.6666666666666665,14
べろいだい,舌痛い,舌が痛い,0.8,0.19992254095048143,舌を痛い,1.0,12
便所さいぎだぐなっから、飲みだぐねぇ,便所さいぎたちぐねっから、飲みたちぐない,トイレへ行きたくなるから、飲みたくない,0.28571428571428564,0.13303414507135128,便所さいぎたちぐねっから、飲みたちぐにない,0.2727272727272727,14
便所さいぎでぇ,便所さいぎたい,トイレに行きたい,0,,便所さいぎたい,0.0,14
便所さいって、しょんべんしてきた,便所にいって、しょんべんしてきた,トイレヘ行って、小便をしてきた,0.6,0.3816075732709983,便所にいって、しょんべんがしてきた,0.6666666666666666,18
便所さ行がねたっていいが？,便所に行かないたっていいか？,トイレに行く必要はないですか？,0.35294117647058826,0.1561772712654926,便所に行かないたっていいか？,0.35294117647058826,14
ほんじゃ、カーテン閉めておぐからな,それでは、カーテン閉めておぐからね,それでは、カーテンを閉めておきますからね,0.6086956521739131,0.4455435984308777,それでは、カーテンを閉めておぐからね,0.6666666666666666,15
ほんじゃ、ゆっくりあったまってけろ,それでは、ゆっくりあったまってください,それでは、ゆっくりあたたまってください,0.875,0.6750912208923534,それでは、ゆっくりあったまってください,0.875,14
ほんじゃ、今から歩いでいがれっか。風呂場まで床濡れてっから気ぃつけろよ,それでは、今から歩いでいがれっか。風呂場まで床濡れてっから気ぃつけろよ,それでは、今から歩いていかれますか。浴室までは床が濡れているので、気をつけてください。,0.4615384615384615,0.30518547260359125,それでは、今から歩いでいがれっか。風呂場まで床に濡れてっから気ぃつけろよ,0.49056603773584906,10
まず、ブレーキかげでもらっていいべか,とにかく、ブレーキかげでもらっていいだか,最初にブレーキをかけてもらっていいでしょうか,0.47619047619047616,0.22133436480507543,とにかく、ブレーキかげでもらっていいだか,0.47619047619047616,14
むぐしそうだ,漏らしそうた,漏れそうだ,0.3333333333333333,0.15587075056736388,漏らしそうた,0.3333333333333333,14
もうあだまいっだくねえ,もうあたまいったくねえ,もう頭が痛くありません,0.16666666666666666,0.10482090744790598,もうあたまいったくねえ,0.16666666666666666,14
ゆんべはよぐねらっちゃが,昨夜はよぐねらっちゃか,昨晩はよく眠れましたか,0.2857142857142857,0.12338601240687272,昨夜はよぐにねらっちゃか,0.26666666666666666,14
よぐござたなっし,よぐござたなっし,よくいらっしゃいましたね,0,,よぐござたになっし,0.0,14
よぐ眠らっちゃ,よぐ眠らっちゃ,よく眠れました,0,,よぐに眠らっちゃ,0.0,14
よごっぱらきりきりいだい,脇腹きりきり痛い,脇腹が締め付けられるように痛い,0.36363636363636365,0.11630112256788218,脇腹きりきり痛い,0.36363636363636365,14
よごっばらやめる,脇腹痛い,脇腹が痛い,0.8,0.19992254095048143,脇腹を痛い,1.0,15
リハビリ頑張ってんなー。ちぃっと歩がれるようになっていがったなー。これがらも頑張っぺな,リハビリ頑張ってんなー。ちぃっと歩かれるようになって良かったなー。これからも頑張っしましょうね,リハビリを頑張っていますね。少しずつ歩けるようになってよかったですね。これからも頑張りましょうね,0.5882352941176471,0.3093974335074324,リハビリを頑張ってんなー。ちぃっと歩かれるようになって良かったなー。これからも頑張っしましょうね,0.6153846153846153,9
わぎばらきりきりいだい,脇腹きりきり痛い,脇腹がしめつけられるように痛い,0.36363636363636365,0.11630112256788218,脇腹きりきり痛い,0.36363636363636365,14
んじゃ、お湯左足がらかけて。あづぐねぇが？,それでは、お湯左足からかけて。あづぐないか？,それでは、お湯を左足からかけてください。熱くないですか？,0.7999999999999999,0.5307243784491427,それでは、お湯左足からかけて。あづぐがないか？,0.8333333333333334,15
んじゃ、何かあったら、いつでも呼んでなー,それでは、何かあったら、いつでも呼んでなー,それでは、何かあったらいつでも呼んでください,0.896551724137931,0.8114024561491937,それでは、何かあったら、いつでも呼んでなー,0.896551724137931,14
んじゃ、起ぎあがって、ベッドの端さ腰かけてみで,それでは、起ぎあがって、ベッドの端に腰かけてみで,それでは、起き上がって、ベッドの端に腰掛けてみてください,0.7058823529411765,0.5398207585014805,それでは、起ぎをあがって、ベッドの端に腰かけてみで,0.6857142857142857,14
んじゃ、今がら服脱いでもらうがら確認させてけろな。足の裏ちゃんと床さついったが。ちょっと待ってけろ。,それでは、今から服脱いでもらうから確認させてくださいね。足の裏きちんと床についったか。少し待ってください。,それでは、今から服を脱いでもらいますので確認させてください。足の裏はしっかり床についていますね。少しお待ちください。,0.6944444444444445,0.45193529958753087,それでは、今から服に脱いでもらうから確認にさせてくださいね。足の裏きちんと床についったか。少し待ってください。,0.7027027027027027,15
んじゃ、今から立ってもらうがら、右肩さタオルかげんぞ,それでは、今から立ってもらうから、右肩にタオルかげんよ,それでは、今から立ち上がりますが、右腕にこちらのタオルをかけますよ,0.5555555555555556,0.35616090974252007,それでは、今から立ってもらうから、右肩にタオルかげんよ,0.5555555555555556,14
んじゃ、上着脱いでもらっていいべか,それでは、上着脱いでもらっていいだか,それでは、上着を脱いでもらっていいでしょうか,0.8799999999999999,0.6681595368095606,それでは、上着に脱いでもらっていいだか,0.9230769230769231,13
んじゃ、体よっく拭いてけろな,それでは、体よっく拭いてくださいね,それでは、お身体をよく拭いてください,0.6666666666666666,0.4152016760541662,それでは、体よっく拭いてくださいね,0.6666666666666666,14
んじゃ、服脱いでもらうが。左手でボタン外されっか？,それでは、服脱いでもらうか。左手でボタン外にれっか？,それでは、服を脱ぎましょう。左手でボタンを外されますか？,0.6285714285714287,0.42885262478654473,それでは、服が脱いでもらうか。左手でボタン外にれっか？,0.6666666666666666,16
んじゃ、歩いていぐぞ。そごで止まってけろ,それでは、歩いて良くよ。そこで止まってください,それでは、歩いていきましょう。そこで止まってください。,0.8275862068965518,0.7332280165956895,それでは、歩いて良くよ。そこで止まってください,0.8275862068965518,14
んじゃらば、車いすさ移んぞ,それではらば、車いすに移んよ,それでは、車いすに移りましょう,0.7368421052631577,0.45134805500564174,それではらば、車いすに移んよ,0.7368421052631577,14
んだごでな,そうだろうね,そうだよね,0.5714285714285715,0.17267465035867638,そうだろうね,0.5714285714285715,14
飲みもん何いい？,飲みもん何いい？,飲み物はなにがいいですか？,0.3076923076923077,0.11630112256788218,飲みもん何をいい？,0.42857142857142855,13
何があったら、このボタン押して呼ばってけろ,何があったら、このボタン押して呼ばってください,何かあったら、このボタンを押して呼んでください,0.7199999999999999,0.4383905246949004,何があったら、このボタンに押して呼ばってください,0.7692307692307693,14
家族さ連絡してけろ,家族に連絡してください,家族に連絡してください,1.0,1.1167470964180197,家族に連絡がしてください,0.923076923076923,14
家族の写真見るたんび、むがし思い出す,家族の写真見るたび、むかし思い出す,家族の写真を見るたびに、昔を思い出します,0.6363636363636364,0.23317291857642392,家族の写真に見るたび、むかし思い出す,0.6956521739130435,13
寒ぐねえが？,寒ぐないえか？,寒くないですか？,0.3636363636363636,0.17124814167722655,寒ぐないえか？,0.3636363636363636,14
寒気する,寒気する,寒気がする,0.8,0.19992254095048143,寒気にする,1.0,19
顔洗いでぇ,顔洗いたい,顔を洗いたい,0.8571428571428571,0.2927373134752523,顔を洗いたい,1.0,15
気持ぢわりい,気持ぢわりい,気持ちが悪いです,0,,気持ぢがわりい,0.25,14
気分いいぐなった,気分い良くなった,気分がよくなりました,0.3636363636363636,0.133051885050407,気分い良くなった,0.3636363636363636,14
起ぎ上がったら、ベッドの端さ腰かけてけろ,起ぎ上がったら、ベッドの端に腰かけてください,起き上がったら、ベッドの端に腰かけて下さい,0.7826086956521738,0.8168465537885856,起ぎが上がったら、ベッドの端に腰かけてください,0.7500000000000001,14
急に手しびっちぇ茶碗おどすどこだった,急ない手しびっちぇ茶碗おどすどこだった,急に手が痺れてお茶碗を落としそうになった,0.32,0.11369951804975036,急がない手がしびっちぇ茶碗がおどすどこだった,0.35714285714285715,15
軽くせぎ出る,軽くせぎ出る,軽く咳が出る,0.5714285714285715,0.17267465035867638,軽くせぎを出る,0.75,15
検査のたんび、緊張する,検査のたび、緊張する,検査のたびに、緊張する,0.923076923076923,0.4674425833435653,検査のたび、緊張をする,1.0,12
喉いがらっぽい,喉引っかかるように痛い,喉が引っかかるように痛い,0.923076923076923,0.7261088311990976,喉を引っかかるように痛い,1.0,15
喉いがらっぽぐねが,喉引っかかるように痛いないか,喉が引っかかるような感じがしませんか,0.5,0.2076958022051048,喉に引っかかるように痛いないか,0.5714285714285715,13
喉いでくて声出ねぇ,喉痛くて声出ない,喉が痛くて声が出ない,0.8571428571428571,0.3301393714142395,喉が痛くて声が出ない,1.0,12
喉乾いだー,喉乾いだー,喉が渇いたわ,0.25,0.12114911497845275,喉を乾いだー,0.4444444444444445,15
腰いっだいがら湿布けろ,腰いったいから湿布ください,腰が痛いので湿布を貼ってください,0.37499999999999994,0.11941366646791135,腰をいったいから湿布ください,0.5,16
今がら車イス押すがら、動ぐぞ,今から車イス押すから、動ぐよ,今から車イス押すので動きますよ,0.5,0.34464293249933686,今から車イスを押すから、動ぐよ,0.47619047619047616,14
今がら服脱ぐげんど、部屋寒ぐねえが？,今から服脱ぐげんど、部屋寒ぐないえか？,今から服を脱ぎますが、部屋は寒くないですか？,0.4666666666666667,0.22389458300526144,今から服を脱ぐげんど、部屋寒ぐないえか？,0.5161290322580646,16
今日、いい天気だがら出がけっぺ,今日、いい天気たちから出か欲しいしましょう,今日、いいお天気ですから出かけましょう,0.3636363636363636,0.18359389126310585,今日、いい天気たちから出か欲しいしましょう,0.3636363636363636,14
今日、寒いがらしゃっぽがぶって行け,今日、寒いからしゃっぽかぶって行け,今日、寒いから帽子かぶって行け,0.7058823529411765,0.41922527410611504,今日、寒いからしゃっぽかぶって行け,0.7058823529411765,14
今日、風呂さ入りでぇ,今日、風呂に入りたい,今日、お風呂に入りたいです,0.8571428571428571,0.47504447083986046,今日、風呂に入りたい,0.8571428571428571,14
今日佐藤さんのだみ出しだ,今日佐藤さんの葬式たち,今日は佐藤さんのお葬式だ,0.7142857142857143,0.2854862320465112,今日佐藤さんの葬式たち,0.7142857142857143,14
左の腕がら脱いでけろ,左の腕から脱いでください,左の手から抜いてください,0.5714285714285714,0.20188404320436518,左の腕から脱いでください,0.5714285714285714,14
左手で手すりおさえでけろ。手足さ力いっちぇ、立ってもらうが,左手で手すりおかずでください。手足に力入れて、立ってもらうか,左手で手すりを握ってください。手足に力を入れて。立ち上がりましょう。,0.6111111111111113,0.3700283605134764,左手で手すりおかずでください。手足に力が入れて、立ってもらうか,0.6486486486486486,11
左手で手すりおさえてしゃがんでけろ。背中流してけっから,左手で手すりおかずてしゃがんでください。背中流して欲しいから,左手で手すりを握って前かがみになってください。背中を流してあげますから,0.5454545454545454,0.23517464030033128,左手で手すりおかずてしゃがんでください。背中が流して欲しいから,0.5882352941176471,14
左足さ右足揃えてけろ。ちゃんと、まっすぐ立ってられっか？,左足に右足揃えてください。きちんと、まっすぐ立ってられっか？,左足に右足を揃えてください。しっかり、まっすぐ立っていられますか？,0.6875000000000001,0.34560106839856386,左足に右足が揃えてください。きちんと、まっすぐ立ってられっか？,0.7272727272727272,14
左足一歩前に出してけろ。手すりおさえで、ゆっくり回ってこっちの方むいでけろ,左足一歩前に出してください。手すりおかずで、ゆっくり回ってこっちの方むいでください,左足を一歩前に出してください。手すりを握ってください。ゆっくり回ってこちらをみてください。,0.5306122448979592,0.47115781715668653,左足一歩前に出してください。手すりおかずで、ゆっくり回ってこっちの方むいでください,0.5306122448979592,14
最初ちょっとばり難しいがもしんにぇげど、 だんだん練習していぐべ,最初少しばり難しいかもしんないけど、 たそうん練習して良くだ,最初は少しだけ難しいかもしれないけど、だんだん練習していきましょう。,0.6111111111111112,0.29221962577483274,最初少しばり難しいかもしんないけど、 たそうん練習にして良くだ,0.5945945945945946,14
歯いでぇ,歯いたい,歯が痛い,0.3333333333333333,0.15587075056736388,歯をいたい,0.5714285714285715,14
歯磨ぎぐれぇ自分ででぎる,歯磨ぎぐれぇ自分ででぎる,歯磨きくらい自分でできますよ,0.26666666666666666,0.14228319194423958,歯を磨ぎぐれぇ自分ででぎる,0.25,14
自分でお湯かげられっか,自分でお湯かげられっか,自分でお湯かけられますか,0.5714285714285715,0.4072707500805513,自分でお湯をかげられっか,0.5333333333333333,13
自分でできっごとは自分でしんなねごで。さんにぇごどあったらすけっから,自分でできることは自分でするなないだろう。できないことあったら助けっから,自分でできることは自分でしてください。できないことがあればお手伝いします,0.5,0.43788348052262377,自分でできることは自分でするなないだろう。できないことをあったら助けっから,0.5365853658536585,11
終わったら声かげでけろ。部屋さ一緒に帰るべ,終わったら声かげでください。部屋に一緒に帰るだ,終わったら声をかけてください。お部屋まで一緒に帰りましょう,0.5714285714285715,0.23282492699041768,終わったら声かげでください。部屋に一緒に帰るだ,0.5714285714285715,14
食器下げでもいいべが,食器下げでもいいだか,食器を下げてもよろしいでしょうか,0.39999999999999997,0.13247262942195687,食器下げでもいいだか,0.39999999999999997,14
寝る前もういっかいべんじょさ行ぐが,寝る前もういっかいトイレに行ぐか,寝る前にもう一度トイレに行きましょうか,0.5714285714285713,0.18837957585613677,寝る前もういっかいトイレに行ぐか,0.5714285714285713,14
節々いだくてしゃーましする,節々痛くて持て余しする,節々が痛く て、どう しようも ない,0.2222222222222222,0.09997314850420842,節々が痛くて持て余しする,0.3157894736842105,17
節々いだくてひしゃましする,節々痛くて持て余しする,関節が痛くて持て余している,0.5714285714285715,0.4072707500805513,節々を痛くて持て余しする,0.6666666666666666,18
節々いってくてひしゃましする,節々いってくて持て余しする,関節が痛くて、もてあましている,0.125,0.09645285846821916,節々をいってくて持て余しする,0.23529411764705882,14
先週から髪洗ってねえがら、あだまかゆい,先週から髪洗ってないえから、頭かゆい,先週から髪を洗っていないので、頭が痒いの,0.5384615384615385,0.22389458300526144,先週から髪が洗ってないえから、頭かゆい,0.5925925925925926,13
前さしゃがんでもらうがら、左手で椅子の手すりおさえでけろ,前にしゃがんでもらうから、左手で椅子の手すりおかずでください,前かがみになりますので、左手で椅子の手すりを握ってください,0.5161290322580646,0.4113874545444234,前にしゃがんでもらうから、左手で椅子の手すりおかずでください,0.5161290322580646,14
息子さ連絡してけんにが,息子に連絡してあげないか,息子に連絡してもらえますか？,0.7058823529411765,0.5483393158177052,息子に連絡がしてあげないか,0.6666666666666666,14
息子持ってきたりんごくいでぇ,息子持ってきたりんごくいたい,息子が持ってきたりんごを食べたい,0.7777777777777777,0.5095663219068122,息子を持ってきたりんごをくいたい,0.8000000000000002,13
足いだくてそげなごとさんにぇなー,足痛くてそんなごとできないなー,足が痛くてそんなことできない,0.5882352941176471,0.20180653356665557,足が痛くてそんなごとできないなー,0.6666666666666665,19
足元がらゆっくりかげでー,足元からゆっくりかげでー,足元からゆっくりかけてください,0.5454545454545454,0.32416217435629585,足元からゆっくりかげでー,0.5454545454545454,14
体温測らせてもらっていいべか,体温測らせてもらっていいだか,体温を測らせてもらっていいでしょうか,0.8421052631578948,0.6466247192075638,体温に測らせてもらっていいだか,0.9,12
体洗うぞ。腋の下もちゃんと洗えよ,体洗うよ。腋の下もきちんと洗えよ,身体を洗いましょう。腋の下もちゃんと洗ってくださいよ,0.4,0.19635990777207155,体に洗うよ。腋の下もきちんと洗えよ,0.4761904761904762,14
脱いだ服、このかごさいっちぇでけろ,脱いた服、このかごに入れてでください,脱いだ服は、このかごに入れておいて下さい,0.6666666666666667,0.49785803334617135,脱いた服、このかごに入れてでください,0.6666666666666667,14
着いだがら、止めんぞ,着いたから、止めんよ,着いたから、止めるよ,0.8333333333333334,0.5859402341761669,着いたから、止めんよ,0.8333333333333334,14
着替えっか？,着替えっか？,着替えましょうか？,0.4444444444444445,0.209162952574368,着替えっか？,0.4444444444444445,14
昼間めし食ったっけが？,昼間めし食ったっけか？,昼ごはん食べたっけ？,0.5,0.15821989406845363,昼間をめし食ったっけか？,0.4615384615384615,14
吐き気する,吐き気する,吐き気がする,0.8,0.19992254095048143,吐き気にする,1.0,15
肌乾いでる,肌乾いでる,肌が乾燥している,0.2222222222222222,0.11133131628989178,肌が乾いでる,0.2,14
晩めしの時間だぞ。食堂さ行ぐべ,晩めしの時間たちよ。食堂に行ぐだ,夕食の時間ですよ。食堂へ行きましょう,0.47619047619047616,0.23465342933831884,晩めしの時間たちよ。食堂に行ぐだ,0.47619047619047616,14
鼻詰まる,鼻詰まる,鼻が詰まる,0.8,0.19992254095048143,鼻が詰まる,1.0,17
布団濡らしたなよ,布団濡らしたよ,布団を濡らせてしまった,0.4,0.133051885050407,布団に濡らしたよ,0.5454545454545454,17
風呂入らんにぇな残念だげんど、しかだねな,風呂入らんないね残念たげんど、しかたないね,風呂に入れないのは残念だけど、仕方がないですね,0.30769230769230765,0.11058322248539042,風呂に入らんないね残念たげんど、しかたないね,0.3703703703703704,17
