標準語,置賜弁,正解分割,分類
おかげで、だいぶ良くなりました,おかげで、よっぽどいぐなった,"おかげ,で,よっぽど,いぐ,なっ,た",A
おかげで、助かりました,おかげで助かった,"おかげで,助かっ,た",A
おかわりをしてください,おだちしてくだい,"おだち,し,て,くだい",A
私の孫は、5歳なんですよ,おれの孫、いづつだな,"おれ,の,孫,いづつ,だ,な",A
私は元気です,おれ元気だず,"おれ,元気,だず",A
召し上がってください,おわいなっとぐやぇ,"おわいなっと,ぐやぇ",A
かゆくて、かゆくて、たまらないんだ,かいくて、かいくて、たまんね,"かいく,て,かいく,て,たまん,ね",A
かぶったら、左手から袖を通して下さい,かぶったら、左手がら袖通してけろ,"かぶっ,たら,、,左手,がら,袖,通し,て,けろ",B
お尻が痛い,けっついでぇ,"けっつ,いでぇ",A
こちら洗濯に出してもよろしいでしょうか？,こいづ、洗濯さ出していいが？,"こいづ,、,洗濯,さ,出し,て,いい,が,？",B
これはいいですので、買いませんか,こいづいいがら、かわねが,"こいづ,いい,がら,かわ,ね,が",A
これはいくらですか？,こいづなんぼや？,"こいづ,なんぼ,や,？",A
こんなものいらない,こがなものいらね,"こがな,もの,いら,ね",A
このタオルを外してもよろしいでしょうか？かごに入れておきますね,このタオル外していいが？かごさいっちょぐぞ,"この,タオル,外し,て,いい,べ,が,？,かご,さ,いっちょ,ぐ,ぞ",B
今から服を脱いで、シャワーを浴びて体を洗おうと思いますがいいですか？,これがら服脱いで、シャワー浴びで体洗うんだげど、いいべが？,"これがら,服,脱い,で,、,シャワー,浴び,で,体,洗う,ん,だげど,いい,べ,が,？",B
気分は悪くないですか？,こわぐねえが？,"こわぐ,ねえ,が,?",B
下腹部が痛くてそんなことできない,したっぱらいだくてそげなごどさんにぇ,"したっぱら,いだく,て,そげな,こど,さんにぇ",A
下腹部が痛くて座れない,したっぱらいだくて座らんにぇー,"したっぱら,いだく,て,座ら,ん,にぇ,ー",A
シャワーは40℃にしていますが、熱すぎないか、確認してください,シャワー40℃にしたげんど、あづぐねぇが、確認してけろ,"シャワー,40,℃,に,した,げん,ど,、,あづ,ぐ,ねぇ,が,、,確認し,て,けろ",B
ズボンを替えましょう,ズボン替えっぺ,"ズボン,替えっ,べ",B
スリッパを脱いで、ここに腰掛けて下さいませんか,スリッパ脱いで、こごさ腰かげでけんにが,"スリッパ,脱い,で,、,こご,さ,腰,かげ,で,けんに,が",B
それを繰り返しながらゆっくり下りてみましょう。,そいづ繰り返しながらゆっくり下りでみっぺ。,"そいづ,繰り返し,ながら,ゆっくり,下り,で,みっ,ぺ,。",B
そこに座ってください,そごさ、座っとごやぇ,"そご,さ,座っ,と,ごやぇ",A
そこに、座ってください,そごさ座ってけろ,"そこ,さ,座っ,て,けろ",A
そこの角、右に曲がって,そごの角、右さむじって,"そご,の,角,、,右,さ,むじっ,て",B
そろそろ食堂に行きたいです,そろそろ食堂さ行ぎでぇ,"そろそろ,食堂,さ,行ぎ,でぇ",A
少し疲れました,ちょっとくたびっちゃ,"ちょっと,くたび,っちゃ",A
少し頭をあげてみて,ちょっと頭上げでみで,"ちょっと,頭,上げ,で,み,で",B
少し頭が痛い,ちょぴっとあだまやめる,"ちょぴっと,あだま,やめる",A
手に火傷をした,てぇやげどした,"てぇ,やげど,した",A
手伝ってくれませんか？,てづだってけんにが？,"てづだっ,て,けん,に,が,?",A
トイレットペーパー、ここにおいておくからね,トイレットペーパー、こさ置いどっからな,"トイレットペーパー,、,こさ,置い,どっ,から",B
どうぞ、おあがりください,どうぞ、あがっとぐやぇ,"どうぞ,、,あがっと,ぐやぇ",A
どちらに行くのですか？,どごさ行ぐなや？,"どご,さ,行ぐ,な,や?",B
どこに行くのですか？,どさいぐなや？,"どさ,いぐ,な,や,?",A
なかなか、うまくできないわ,ながなが、うまぐでぎねぇ,"ながなが,うまぐ,でぎ,ねぇ",A
どうしました？,なじょした？,"なじょ,した,？",B
なんだかお腹が減った,なんだが腹減った,"なんだが,腹,減っ,た",A
パジャマを脱ぎましょう。右手から脱いでいただけますか,パジャマ脱ぐべ。右手がら脱いでもらうが,"パジャマ,脱ぐ,べ,。右手,がら,脱い,で,もらう,が",B
膝が脈打つように痛い,ひざかぶずきずきする,"ひざかぶ,ずきずき,する",A
ふらふらしませんか？気分は悪くないですか？,ふらふらしねぇが？具合悪ぐねえが？,"ふらふら,し,ねえ,が,？,具合,悪く,ねえ,が,？",B
ふらふらしませんか？足に力を入れてしっかり座ってください,ふらふらしねえが？足さ力いっちぇちゃんと座ってけろ,"ふらふら,し,ねえ,が,？,足,さ,力,いっちぇ,ちゃんと,座っ,て,けろ",B
ブレーキかけて下さい,ブレーキかけてけろ,"ブレーキ,かけ,て,けろ",B
舌が痛い,べろいだい,"べろ,いだい",A
トイレへ行きたくなるから、飲みたくない,便所さいぎだぐなっから、飲みだぐねぇ,"便所,さ,いぎ,だぐ,なっから,、,飲み,だぐ,ねぇ",A
トイレに行きたい,便所さいぎでぇ,"便所,さ,いぎ,でぇ",A
トイレヘ行って、小便をしてきた,便所さいって、しょんべんしてきた,"便所,さ,いって,、,しょんべん,し,て,き,た",A
トイレに行く必要はないですか？,便所さ行がねたっていいが？,"便所,さ,いが,ね,たって,いい,が,?",B
それでは、カーテンを閉めておきますからね,ほんじゃ、カーテン閉めておぐからな,"ほんじゃ,、,カーテン,閉め,て,おぐ,から,な",B
それでは、ゆっくりあたたまってください,ほんじゃ、ゆっくりあったまってけろ,"ほんじゃ,、ゆっくり,あったまっ,て,けろ",B
それでは、今から歩いていかれますか。浴室までは床が濡れているので、気をつけてください。,ほんじゃ、今から歩いでいがれっか。風呂場まで床濡れてっから気ぃつけろよ,"ほんじゃ,、,今,から,歩い,で,いがれっ,か,。,風呂場,まで,床,濡れ,てっ,から,気ぃ,つけ,ろ,よ",B
最初にブレーキをかけてもらっていいでしょうか,まず、ブレーキかげでもらっていいべか,"まず,、,ブレーキ,かげ,で,もらっ,て,いい,べ,か",B
漏れそうだ,むぐしそうだ,"むぐし,そう,だ",A
もう頭が痛くありません,もうあだまいっだくねえ,"もう,あだま,いっだく,ねえ",A
昨晩はよく眠れましたか,ゆんべはよぐねらっちゃが,"ゆんべ,は,よぐ,ねらっ,ちゃ,が",B
よくいらっしゃいましたね,よぐござたなっし,"よぐ,ござ,た,なっし",A
よく眠れました,よぐ眠らっちゃ,"よぐ,眠ら,っ,ちゃ",A
脇腹が締め付けられるように痛い,よごっぱらきりきりいだい,"よごっぱら,きりきり,いだい",A
脇腹が痛い,よごっばらやめる,"よごっばら,やめる",A
リハビリを頑張っていますね。少しずつ歩けるようになってよかったですね。これからも頑張りましょうね,リハビリ頑張ってんなー。ちぃっと歩がれるようになっていがったなー。これがらも頑張っぺな,"リハビリ,頑張っ,て,ん,な,ー,。,ちぃっと,歩が,れる,よう,に,なっ,て,いがった,な,ー,。,これがら,も,頑張っ,ぺ,な",B
脇腹がしめつけられるように痛い,わぎばらきりきりいだい,"わぎばら,きりきり,いだい",A
それでは、お湯を左足からかけてください。熱くないですか？,んじゃ、お湯左足がらかけて。あづぐねぇが？,"んじゃ,、,お湯,左足,がら,かけ,て,。,あづぐ,ねぇ,が,？",B
それでは、何かあったらいつでも呼んでください,んじゃ、何かあったら、いつでも呼んでなー,"んじゃ,、,何か,あっ,たら,、,いつ,で,も,呼ん,で,な,ー",B
それでは、起き上がって、ベッドの端に腰掛けてみてください,んじゃ、起ぎあがって、ベッドの端さ腰かけてみで,"んじゃ,、,起ぎあがって,,、,ベッド,の,端,さ,腰,かけ,て,み,で",B
それでは、今から服を脱いでもらいますので確認させてください。足の裏はしっかり床についていますね。少しお待ちください。,んじゃ、今がら服脱いでもらうがら確認させてけろな。足の裏ちゃんと床さついったが。ちょっと待ってけろ。,"んじゃ,、,今,がら,服,脱い,で,もらう,がら,確認,さ,せ,て,けろ,な,。,足,の,裏,ちゃんと,床,さ,ついっ,た,が,。,ちょっと,待っ,て,けろ",B
それでは、今から立ち上がりますが、右腕にこちらのタオルをかけますよ,んじゃ、今から立ってもらうがら、右肩さタオルかげんぞ,"んじゃ,、,今,から,立っ,て,もらう,がら,、,右肩,さ,タオル,かげ,ん,ぞ",B
それでは、上着を脱いでもらっていいでしょうか,んじゃ、上着脱いでもらっていいべか,"んじゃ,、,上着,脱い,で,もらっ,て,いい,べ,か",B
それでは、お身体をよく拭いてください,んじゃ、体よっく拭いてけろな,"んじゃ,、,体,よっく,拭い,て,けろ,な",B
それでは、服を脱ぎましょう。左手でボタンを外されますか？,んじゃ、服脱いでもらうが。左手でボタン外されっか？,"んじゃ,、,服,脱い,で,もらう,が,。,左手,で,ボタン,外さ,れっ,か,？",B
それでは、歩いていきましょう。そこで止まってください。,んじゃ、歩いていぐぞ。そごで止まってけろ,"んじゃ,、,歩い,て,いぐ,ぞ,。,そご,で,止まっ,て,けろ",B
それでは、車いすに移りましょう,んじゃらば、車いすさ移んぞ,"んじゃ,らば,、,車,いす,さ,移ん,ぞ",B
そうだよね,んだごでな,"んだ,ごでな",B
飲み物はなにがいいですか？,飲みもん何いい？,"飲み,もん,何,いい,?",B
何かあったら、このボタンを押して呼んでください,何があったら、このボタン押して呼ばってけろ,"何,が,あっ,たら,、,この,ボタン,押し,て,呼ばっ,て,けろ",B
家族に連絡してください,家族さ連絡してけろ,"家族,さ,連絡し,て,けろ",A
家族の写真を見るたびに、昔を思い出します,家族の写真見るたんび、むがし思い出す,"家族,の,写真,見る,たんび,、,むがし,思い,出す",A
寒くないですか？,寒ぐねえが？,"寒ぐ,ねえ,が,?",B
寒気がする,寒気する,"寒気,する",A
顔を洗いたい,顔洗いでぇ,"顔,洗い,でぇ",A
気持ちが悪いです,気持ぢわりい,"気持ぢ,わりい",A
気分がよくなりました,気分いいぐなった,"気分,いいぐ,なっ,た",A
起き上がったら、ベッドの端に腰かけて下さい,起ぎ上がったら、ベッドの端さ腰かけてけろ,"起ぎ上がっ,たら,、,ベッド,の,端,さ,腰,かけ,て,けろ",B
急に手が痺れてお茶碗を落としそうになった,急に手しびっちぇ茶碗おどすどこだった,"急,に,手,しびっ,ちぇ,茶碗,おどす,どこ,だった",A
軽く咳が出る,軽くせぎ出る,"軽く,せぎ,出る",A
検査のたびに、緊張する,検査のたんび、緊張する,"検査,の,たんび,、,緊張する",A
喉が引っかかるように痛い,喉いがらっぽい,"喉,いがらっぽい",A
喉が引っかかるような感じがしませんか,喉いがらっぽぐねが,"喉,いがらっぽ,ぐ,ね,が",A
喉が痛くて声が出ない,喉いでくて声出ねぇ,"喉,いでく,て,声,出,ねぇ",A
喉が渇いたわ,喉乾いだー,"喉,乾い,だー",A
腰が痛いので湿布を貼ってください,腰いっだいがら湿布けろ,"腰,いっだい,がら,湿布,けろ",A
今から車イス押すので動きますよ,今がら車イス押すがら、動ぐぞ,"今,がら,車イス,押す,がら,、,動ぐ,ぞ",B
今から服を脱ぎますが、部屋は寒くないですか？,今がら服脱ぐげんど、部屋寒ぐねえが？,"今,がら,服,脱ぐ,げんど,、,部屋,寒ぐ,ねえ,が,？",B
今日、いいお天気ですから出かけましょう,今日、いい天気だがら出がけっぺ,"今日,、,いい,天気,だ,から,出がけ,っぺ",B
今日、寒いから帽子かぶって行け,今日、寒いがらしゃっぽがぶって行け,"今日,、,寒い,がら,しゃっぽ,がぶっ,て,行け",B
今日、お風呂に入りたいです,今日、風呂さ入りでぇ,"今日,、,風呂,さ,入り,でぇ",A
今日は佐藤さんのお葬式だ,今日佐藤さんのだみ出しだ,"今日,佐藤,さん,の,だみ出し,だ",A
左の手から抜いてください,左の腕がら脱いでけろ,"左,の,腕,がら,脱い,で,けろ",B
左手で手すりを握ってください。手足に力を入れて。立ち上がりましょう。,左手で手すりおさえでけろ。手足さ力いっちぇ、立ってもらうが,"左手,で,手すり,おさえ,で,けろ,。,手足,さ,力,いっ,ちぇ,、,立っ,て,もらう,が",B
左手で手すりを握って前かがみになってください。背中を流してあげますから,左手で手すりおさえてしゃがんでけろ。背中流してけっから,"左手,で,手すり,おさえ,て,しゃがん,で,けろ,。,背中,流し,て,けっ,から",B
左足に右足を揃えてください。しっかり、まっすぐ立っていられますか？,左足さ右足揃えてけろ。ちゃんと、まっすぐ立ってられっか？,"左足,さ,右足,揃え,て,けろ,。,ちゃんと,、,まっすぐ,立っ,て,られっ,か,？",B
左足を一歩前に出してください。手すりを握ってください。ゆっくり回ってこちらをみてください。,左足一歩前に出してけろ。手すりおさえで、ゆっくり回ってこっちの方むいでけろ,"左足,一歩,前,に,出し,て,けろ,。,手すり,おさえ,で,、,ゆっくり,回っ,て,こっち,の,方,むい,で,けろ",B
最初は少しだけ難しいかもしれないけど、だんだん練習していきましょう。,最初ちょっとばり難しいがもしんにぇげど、 だんだん練習していぐべ,"最初,ちょっと,ばり,難しい,がも,しん,にぇ,げど,、, だんだん,練習,し,て,いぐ,べ",B
歯が痛い,歯いでぇ,"歯,いでぇ",A
歯磨きくらい自分でできますよ,歯磨ぎぐれぇ自分ででぎる,"歯,磨ぎ,ぐれぇ,自分,で,でぎる",A
自分でお湯かけられますか,自分でお湯かげられっか,"自分,で,お湯,かげ,られっ,か",B
自分でできることは自分でしてください。できないことがあればお手伝いします,自分でできっごとは自分でしんなねごで。さんにぇごどあったらすけっから,"自分,で,できっごと,は,自分,で,しんな,ねごで,。,さんにぇ,ごど,あっ,たら,すけっ,から",B
終わったら声をかけてください。お部屋まで一緒に帰りましょう,終わったら声かげでけろ。部屋さ一緒に帰るべ,"終わっ,たら,声かげ,で,けろ,。,部屋,さ,一緒,に,帰る,べ",B
食器を下げてもよろしいでしょうか,食器下げでもいいべが,"食器,下げ,で,も,いい,べ,が",B
寝る前にもう一度トイレに行きましょうか,寝る前もういっかいべんじょさ行ぐが,"寝る,前,もう,一回,べんじょ,さ,行ぐ,が",B
節々が痛く て、どう しようも ない,節々いだくてしゃーましする,"節々,いだく,て,しゃーまし,する",A
関節が痛くて持て余している,節々いだくてひしゃましする,"節々,いだく,て,しゃーまし,する",A
関節が痛くて、もてあましている,節々いってくてひしゃましする,"節々,いだ,く,て,ひしゃまし,する",A
先週から髪を洗っていないので、頭が痒いの,先週から髪洗ってねえがら、あだまかゆい,"先週,から,髪,洗っ,て,ねえ,がら,、,あだま,かゆい",A
前かがみになりますので、左手で椅子の手すりを握ってください,前さしゃがんでもらうがら、左手で椅子の手すりおさえでけろ,"前,さ,しゃがん,で,もらう,がら,、,左手,で,椅子,の,手すり,おさえ,で,けろ",B
息子に連絡してもらえますか？,息子さ連絡してけんにが,"息子,さ,連絡し,て,けんに,が",A
息子が持ってきたりんごを食べたい,息子持ってきたりんごくいでぇ,"息子,持っ,て,きた,りんご,くい,でぇ",A
足が痛くてそんなことできない,足いだくてそげなごとさんにぇなー,"足,いだく,て,そげな,ごと,さんにぇ,なー",A
足元からゆっくりかけてください,足元がらゆっくりかげでー,"足元,がら,ゆっくり,かげ,でー",B
体温を測らせてもらっていいでしょうか,体温測らせてもらっていいべか,"体温,測らせ,て,もらっ,て,いいべ,か",B
身体を洗いましょう。腋の下もちゃんと洗ってくださいよ,体洗うぞ。腋の下もちゃんと洗えよ,"体,洗う,ぞ,。,脇,の,下,も,ちゃんと,洗えよ",B
脱いだ服は、このかごに入れておいて下さい,脱いだ服、このかごさいっちぇでけろ,"脱い,だ,服,、,この,かご,さ,いっちぇ,で,けろ",B
着いたから、止めるよ,着いだがら、止めんぞ,"着い,だ,がら,、,止めん,ぞ",B
着替えましょうか？,着替えっか？,"着替え,っ,か,?",B
昼ごはん食べたっけ？,昼間めし食ったっけが？,"昼間,めし,食っ,た,っけ,が,？",A
吐き気がする,吐き気する,"吐き気,する",A
肌が乾燥している,肌乾いでる,"肌,乾い,でる",A
夕食の時間ですよ。食堂へ行きましょう,晩めしの時間だぞ。食堂さ行ぐべ,"晩めし,の,時間,だ,ぞ,。,食堂,さ,行ぐ,べ",B
鼻が詰まる,鼻詰まる,"鼻,詰まる",A
布団を濡らせてしまった,布団濡らしたなよ,"布団,濡らし,た,な,よ",A
風呂に入れないのは残念だけど、仕方がないですね,風呂入らんにぇな残念だげんど、しかだねな,"風呂,入ら,ん,にぇ,な,残念,だ,げんど,、,しかだ,ね,な",A
服を脱ぐときに背中にバスタオルをかけますか？それでは、こちらに置いておきますので、寒かったらいつでも言ってください,服脱いだら背中さバスタオルかげっか？ほんじゃ、こさ置いどっから、寒いどぎはかまーずゆってけろな,"服,脱い,だら,背中,さ,バスタオル,かげっ,か,？,ほんじゃ,、,こさ,置い,どっ,から,、,寒い,どぎ,は,かまーず,ゆって,けろ,な",B
お腹が痛い,腹いでぇ,"腹,いでぇ",A
お腹から腰にかけて、脈打つような痛みがある,腹から腰にずきずきいだい,"腹,から,腰,に,ずきずき,いだい",A
お腹がさすように痛い,腹きりきりいでぇ,"腹,きりきり,いでぇ",A
お腹を下した,腹くだした,"腹,くだっ,た,なよ",A
便秘しているんです,便秘してんなよ,"便秘,して,んな,よ",A
便秘するんだけど、飲まなければなりませんか,便秘すっけど、飲まんなねが,"便秘,すっ,けど,、,飲ま,ん,なね,が",A
歩くたびに、腰が痛くなります,歩くたんび、腰いってぐなる,"歩く,たんび,腰,いってぐ,なる",A
冷たいお茶をください,冷てえお茶けろ,"冷てえ,お茶,けろ",A
痒いところはないですか？この程度で痛くないですか？,痒いどこねぇが？このぐらいで痛ぐねぇが？,"痒い,どこ,ねぇ,が,？,この,ぐらい,で,痛ぐ,ねぇ,が,？",B
